veri,satir,etiket,kat,olcum,sifreleme_s,fovea_ciphertext,fovea_slot,fovea_yukleme_bayt,piroi_ciphertext,piroi_yukleme_MB,piroi_roi_piksel,fovea_sunucu_s,fovea_indirme_bayt
akciğer grafisi (COVID-QU-Ex),8354,0,1,paket,0.010392899974249303,1,8192,855337,2,1.711476,9427,,
akciğer grafisi (COVID-QU-Ex),8361,0,4,paket,0.010149999987334013,1,8192,856216,2,1.711476,10591,,
akciğer grafisi (COVID-QU-Ex),8367,0,4,paket,0.01104679994750768,1,8192,855269,3,2.567214,21797,,
akciğer grafisi (COVID-QU-Ex),8374,0,1,paket,0.010221299948170781,1,8192,856216,3,2.567214,23079,,
akciğer grafisi (COVID-QU-Ex),8384,0,4,paket,0.01010449999012053,1,8192,855992,2,1.711476,13067,,
akciğer grafisi (COVID-QU-Ex),8391,0,4,paket,0.010178000084124506,1,8192,855961,2,1.711476,12166,,
akciğer grafisi (COVID-QU-Ex),8403,0,4,paket,0.010239099967293441,1,8192,856002,2,1.711476,14124,,
akciğer grafisi (COVID-QU-Ex),8426,0,2,paket,0.009930299944244325,1,8192,855789,2,1.711476,13255,,
akciğer grafisi (COVID-QU-Ex),8468,0,0,paket,0.01001410000026226,1,8192,855387,4,3.422952,25494,,
akciğer grafisi (COVID-QU-Ex),8486,0,4,paket,0.010300900088623166,1,8192,855212,2,1.711476,12285,,
akciğer grafisi (COVID-QU-Ex),8492,0,1,paket,0.0101166000822559,1,8192,856003,2,1.711476,12531,,
akciğer grafisi (COVID-QU-Ex),8498,0,2,paket,0.010183300008065999,1,8192,855406,4,3.422952,30376,,
akciğer grafisi (COVID-QU-Ex),8519,0,1,paket,0.013747299904935062,1,8192,855888,2,1.711476,16279,,
akciğer grafisi (COVID-QU-Ex),8520,0,0,paket,0.010700899991206825,1,8192,856181,2,1.711476,14696,,
akciğer grafisi (COVID-QU-Ex),8532,0,0,paket,0.010026299976743758,1,8192,855332,4,3.422952,30759,,
akciğer grafisi (COVID-QU-Ex),8533,0,0,paket,0.010247200028970838,1,8192,854982,3,2.567214,16966,,
akciğer grafisi (COVID-QU-Ex),8553,0,2,paket,0.0100080999545753,1,8192,855627,2,1.711476,15293,,
akciğer grafisi (COVID-QU-Ex),8559,0,4,paket,0.010886500007472932,1,8192,856241,2,1.711476,13438,,
akciğer grafisi (COVID-QU-Ex),8573,0,0,paket,0.010744699975475669,1,8192,855433,2,1.711476,11801,,
akciğer grafisi (COVID-QU-Ex),8590,0,1,paket,0.009936699992977083,1,8192,855827,2,1.711476,15850,,
akciğer grafisi (COVID-QU-Ex),8631,0,0,paket,0.010207599960267544,1,8192,856085,2,1.711476,15878,,
akciğer grafisi (COVID-QU-Ex),8642,0,0,paket,0.01019800000358373,1,8192,855808,2,1.711476,10135,,
akciğer grafisi (COVID-QU-Ex),8645,0,2,paket,0.010335500002838671,1,8192,855288,2,1.711476,15055,,
akciğer grafisi (COVID-QU-Ex),8646,0,1,paket,0.010000600013881922,1,8192,856059,3,2.567214,18911,,
akciğer grafisi (COVID-QU-Ex),8671,0,4,paket,0.009958499926142395,1,8192,855259,3,2.567214,18152,,
akciğer grafisi (COVID-QU-Ex),8673,0,4,paket,0.009944899939000607,1,8192,855954,3,2.567214,20091,,
akciğer grafisi (COVID-QU-Ex),8706,0,3,paket,0.010382600012235343,1,8192,855529,3,2.567214,18654,,
